"Element","Epics Channel Access Name"
"CAVL171","ACCL:L3B:1710"
"CAVL172","ACCL:L3B:1720"
"CAVL173","ACCL:L3B:1730"
"CAVL174","ACCL:L3B:1740"
"CAVL175","ACCL:L3B:1750"
"CAVL176","ACCL:L3B:1760"
"CAVL177","ACCL:L3B:1770"
"CAVL178","ACCL:L3B:1780"
"CMB17","BPMS:L3B:1783"
"QCM17","QUAD:L3B:1785"
"XCM17","XCOR:L3B:1785"
"YCM17","YCOR:L3B:1785"
"CAVL181","ACCL:L3B:1810"
"CAVL182","ACCL:L3B:1820"
"CAVL183","ACCL:L3B:1830"
"CAVL184","ACCL:L3B:1840"
"CAVL185","ACCL:L3B:1850"
"CAVL186","ACCL:L3B:1860"
"CAVL187","ACCL:L3B:1870"
"CAVL188","ACCL:L3B:1880"
"CMB18","BPMS:L3B:1883"
"QCM18","QUAD:L3B:1885"
"XCM18","XCOR:L3B:1885"
"YCM18","YCOR:L3B:1885"
"CAVL191","ACCL:L3B:1910"
"CAVL192","ACCL:L3B:1920"
"CAVL193","ACCL:L3B:1930"
"CAVL194","ACCL:L3B:1940"
"CAVL195","ACCL:L3B:1950"
"CAVL196","ACCL:L3B:1960"
"CAVL197","ACCL:L3B:1970"
"CAVL198","ACCL:L3B:1980"
"CMB19","BPMS:L3B:1983"
"QCM19","QUAD:L3B:1985"
"XCM19","XCOR:L3B:1985"
"YCM19","YCOR:L3B:1985"
"CAVL201","ACCL:L3B:2010"
"CAVL202","ACCL:L3B:2020"
"CAVL203","ACCL:L3B:2030"
"CAVL204","ACCL:L3B:2040"
"CAVL205","ACCL:L3B:2050"
"CAVL206","ACCL:L3B:2060"
"CAVL207","ACCL:L3B:2070"
"CAVL208","ACCL:L3B:2080"
"CMB20","BPMS:L3B:2083"
"QCM20","QUAD:L3B:2085"
"XCM20","XCOR:L3B:2085"
"YCM20","YCOR:L3B:2085"
"CAVL211","ACCL:L3B:2110"
"CAVL212","ACCL:L3B:2120"
"CAVL213","ACCL:L3B:2130"
"CAVL214","ACCL:L3B:2140"
"CAVL215","ACCL:L3B:2150"
"CAVL216","ACCL:L3B:2160"
"CAVL217","ACCL:L3B:2170"
"CAVL218","ACCL:L3B:2180"
"CMB21","BPMS:L3B:2183"
"QCM21","QUAD:L3B:2185"
"XCM21","XCOR:L3B:2185"
"YCM21","YCOR:L3B:2185"
"CAVL221","ACCL:L3B:2210"
"CAVL222","ACCL:L3B:2220"
"CAVL223","ACCL:L3B:2230"
"CAVL224","ACCL:L3B:2240"
"CAVL225","ACCL:L3B:2250"
"CAVL226","ACCL:L3B:2260"
"CAVL227","ACCL:L3B:2270"
"CAVL228","ACCL:L3B:2280"
"CMB22","BPMS:L3B:2283"
"QCM22","QUAD:L3B:2285"
"XCM22","XCOR:L3B:2285"
"YCM22","YCOR:L3B:2285"
"CAVL231","ACCL:L3B:2310"
"CAVL232","ACCL:L3B:2320"
"CAVL233","ACCL:L3B:2330"
"CAVL234","ACCL:L3B:2340"
"CAVL235","ACCL:L3B:2350"
"CAVL236","ACCL:L3B:2360"
"CAVL237","ACCL:L3B:2370"
"CAVL238","ACCL:L3B:2380"
"CMB23","BPMS:L3B:2383"
"QCM23","QUAD:L3B:2385"
"XCM23","XCOR:L3B:2385"
"YCM23","YCOR:L3B:2385"
"CAVL241","ACCL:L3B:2410"
"CAVL242","ACCL:L3B:2420"
"CAVL243","ACCL:L3B:2430"
"CAVL244","ACCL:L3B:2440"
"CAVL245","ACCL:L3B:2450"
"CAVL246","ACCL:L3B:2460"
"CAVL247","ACCL:L3B:2470"
"CAVL248","ACCL:L3B:2480"
