KLYS:LI22:21 K22_2C LCAV 140.394188 2155.076700  LI22 K22_2  CU_HXR LCLS L2
KLYS:LI22:21 K22_2D LCAV 143.438288 2158.120800  LI22 K22_2  CU_HXR LCLS L2
QUAD:LI22:301 Q22301 QUAD 143.525888 2158.208400  LI22 K22_2  CU_HXR LCLS L2
BPMS:LI22:301 BPM22301 MONI 143.525888 2158.208400  LI22 K22_2  CU_HXR LCLS L2
XCOR:LI22:302 XC22302 HKIC 143.937488 2158.620000  LI22 K22_3  CU_HXR LCLS L2
YCOR:LI22:303 YC22303 VKIC 144.187488 2158.870000  LI22 K22_3  CU_HXR LCLS L2
KLYS:LI22:31 K22_3B LCAV 149.694488 2164.377000  LI22 K22_3  CU_HXR LCLS L2
KLYS:LI22:31 K22_3C LCAV 152.738588 2167.421100  LI22 K22_3  CU_HXR LCLS L2
KLYS:LI22:31 K22_3D LCAV 155.782688 2170.465200  LI22 K22_3  CU_HXR LCLS L2
QUAD:LI22:401 Q22401 QUAD 155.870288 2170.552800  LI22 K22_3  CU_HXR LCLS L2
BPMS:LI22:401 BPM22401 MONI 155.870288 2170.552800  LI22 K22_3  CU_HXR LCLS L2
XCOR:LI22:402 XC22402 HKIC 156.277488 2170.960000  LI22 K22_4  CU_HXR LCLS L2
YCOR:LI22:403 YC22403 VKIC 156.527488 2171.210000  LI22 K22_4  CU_HXR LCLS L2
KLYS:LI22:41 K22_4B LCAV 162.038888 2176.721400  LI22 K22_4  CU_HXR LCLS L2
KLYS:LI22:41 K22_4C LCAV 165.082988 2179.765500  LI22 K22_4  CU_HXR LCLS L2
KLYS:LI22:41 K22_4D LCAV 168.127088 2182.809600  LI22 K22_4  CU_HXR LCLS L2
QUAD:LI22:501 Q22501 QUAD 168.214688 2182.897200  LI22 K22_4  CU_HXR LCLS L2
BPMS:LI22:501 BPM22501 MONI 168.214688 2182.897200  LI22 K22_4  CU_HXR LCLS L2
XCOR:LI22:502 XC22502 HKIC 168.627488 2183.310000  LI22 K22_5  CU_HXR LCLS L2
YCOR:LI22:503 YC22503 VKIC 168.877488 2183.560000  LI22 K22_5  CU_HXR LCLS L2
KLYS:LI22:51 K22_5B LCAV 174.383288 2189.065800  LI22 K22_5  CU_HXR LCLS L2
KLYS:LI22:51 K22_5C LCAV 177.427388 2192.109900  LI22 K22_5  CU_HXR LCLS L2
KLYS:LI22:51 K22_5D LCAV 180.471488 2195.154000  LI22 K22_5  CU_HXR LCLS L2
QUAD:LI22:601 Q22601 QUAD 180.559088 2195.241600  LI22 K22_5  CU_HXR LCLS L2
BPMS:LI22:601 BPM22601 MONI 180.559088 2195.241600  LI22 K22_5  CU_HXR LCLS L2
XCOR:LI22:602 XC22602 HKIC 180.967488 2195.650000  LI22 K22_6  CU_HXR LCLS L2
YCOR:LI22:603 YC22603 VKIC 181.346488 2196.029000  LI22 K22_6  CU_HXR LCLS L2
KLYS:LI22:61 K22_6B LCAV 186.727688 2201.410200  LI22 K22_6  CU_HXR LCLS L2
KLYS:LI22:61 K22_6C LCAV 189.771788 2204.454300  LI22 K22_6  CU_HXR LCLS L2
KLYS:LI22:61 K22_6D LCAV 192.815888 2207.498400  LI22 K22_6  CU_HXR LCLS L2
QUAD:LI22:701 Q22701 QUAD 192.903488 2207.586000  LI22 K22_6  CU_HXR LCLS L2
BPMS:LI22:701 BPM22701 MONI 192.903488 2207.586000  LI22 K22_6  CU_HXR LCLS L2
XCOR:LI22:702 XC22702 HKIC 193.317488 2208.000000  LI22 K22_7  CU_HXR LCLS L2
YCOR:LI22:703 YC22703 VKIC 193.700388 2208.382900  LI22 K22_7  CU_HXR LCLS L2
KLYS:LI22:71 K22_7B LCAV 199.072088 2213.754600  LI22 K22_7  CU_HXR LCLS L2
KLYS:LI22:71 K22_7C LCAV 202.116188 2216.798700  LI22 K22_7  CU_HXR LCLS L2
KLYS:LI22:71 K22_7D LCAV 205.160288 2219.842800  LI22 K22_7  CU_HXR LCLS L2
QUAD:LI22:801 Q22801 QUAD 205.247888 2219.930400  LI22 K22_7  CU_HXR LCLS L2
BPMS:LI22:801 BPM22801 MONI 205.247888 2219.930400  LI22 K22_7  CU_HXR LCLS L2
XCOR:LI22:802 XC22802 HKIC 205.657488 2220.340000  LI22 K22_8  CU_HXR LCLS L2
YCOR:LI22:803 YC22803 VKIC 206.054388 2220.736900  LI22 K22_8  CU_HXR LCLS L2
KLYS:LI22:81 K22_8B LCAV 211.416488 2226.099000  LI22 K22_8  CU_HXR LCLS L2
KLYS:LI22:81 K22_8C LCAV 214.460588 2229.143100  LI22 K22_8  CU_HXR LCLS L2
XCOR:LI22:900 XC22900 HKIC 216.847488 2231.530000  LI22 K22_8  CU_HXR LCLS L2
YCOR:LI22:900 YC22900 VKIC 217.097488 2231.780000  LI22 K22_8  CU_HXR LCLS L2
QUAD:LI22:901 Q22901 QUAD 217.911388 2232.593900  LI22 K22_8  CU_HXR LCLS L2
BPMS:LI22:901 BPM22901 MONI 217.911388 2232.593900  LI22 K22_8  CU_HXR LCLS L2
KLYS:LI23:11 K23_1A LCAV 223.561588 2238.244100  LI23 K23_1  CU_HXR LCLS L2
KLYS:LI23:11 K23_1B LCAV 226.605688 2241.288200  LI23 K23_1  CU_HXR LCLS L2
KLYS:LI23:11 K23_1C LCAV 229.649788 2244.332300  LI23 K23_1  CU_HXR LCLS L2
KLYS:LI23:11 K23_1D LCAV 232.693888 2247.376400  LI23 K23_1  CU_HXR LCLS L2
QUAD:LI23:201 Q23201 QUAD 232.781488 2247.464000  LI23 K23_1  CU_HXR LCLS L2
BPMS:LI23:201 BPM23201 MONI 232.781488 2247.464000  LI23 K23_1  CU_HXR LCLS L2
XCOR:LI23:202 XC23202 HKIC 233.187488 2247.870000  LI23 K23_2  CU_HXR LCLS L2
YCOR:LI23:203 YC23203 VKIC 233.437488 2248.120000  LI23 K23_2  CU_HXR LCLS L2
KLYS:LI23:21 K23_2B LCAV 238.950088 2253.632600  LI23 K23_2  CU_HXR LCLS L2
KLYS:LI23:21 K23_2C LCAV 241.994188 2256.676700  LI23 K23_2  CU_HXR LCLS L2
KLYS:LI23:21 K23_2D LCAV 245.038288 2259.720800  LI23 K23_2  CU_HXR LCLS L2
